,,Gain,Gain,Gain,Gain,Gain,Gain,Gain,Gain,Gain,Gain,Gain
Dealer Card,,1,2,3,4,5,6,7,8,9,10,11
Hand Value,Hand Status,,,,,,,,,,,
2,Split,,0.0,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.16666666666666666,-0.3333333333333333,-0.5
3,Stand,,,,,,-1.0,,,,,
4,Split,,-0.5,-0.5,,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5
4,Stand,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,
5,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,Split,,,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,
6,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,Split,,-0.25,,,-0.5,,,-0.25,,-0.375,-0.5
8,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,Split,,-0.5,-0.4,,,-0.16666666666666666,-0.3888888888888889,-0.5,-0.5,-0.5,
10,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,Split,,,-0.5,-0.5,-0.5,-0.5,,-0.25,,-0.45454545454545453,-0.5
12,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,Split,,-0.4166666666666667,-0.25,,,-0.5,-0.5,-0.5,-0.5,-0.375,
14,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,Split,,-0.4166666666666667,-0.21428571428571427,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.4642857142857143,-0.5
16,Stand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,Stand,-0.75,-0.9,-0.8888888888888888,-0.9142857142857143,-0.8611111111111112,-0.8444444444444444,-0.5370370370370371,-0.9090909090909091,-0.7878787878787878,-0.8406593406593407,-0.8378378378378378
18,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,Split,,-0.25,-0.5,0.0,,-0.5,-0.16666666666666666,-0.35714285714285715,,-0.375,-0.375
18,Stand,-0.25,-0.42857142857142855,-0.36,-0.7560975609756098,-0.7027027027027027,-0.5714285714285714,-0.02040816326530612,-0.39285714285714285,-0.6774193548387096,-0.64,-0.7407407407407407
19,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,Stand,-0.45454545454545453,-0.3333333333333333,-0.5384615384615384,-0.05555555555555555,-0.24324324324324326,-0.4,0.08163265306122448,0.10638297872340426,-0.125,-0.3954802259887006,-0.030303030303030304
20,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,Split,0.08333333333333333,-0.5,-0.05,-0.3333333333333333,0.0,-0.275,-0.3333333333333333,-0.2777777777777778,-0.1875,-0.29878048780487804,-0.1875
20,Stand,0.5789473684210527,-0.1506849315068493,-0.28846153846153844,-0.3181818181818182,0.14583333333333334,-0.2318840579710145,0.2647058823529412,0.2786885245901639,0.3793103448275862,-0.02510460251046025,-0.1
21,Blackjack,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
21,Hit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,Stand,0.125,0.1,0.17391304347826086,0.3333333333333333,-0.16666666666666666,0.07142857142857142,0.2916666666666667,0.4,0.5454545454545454,0.5324675324675324,0.65
22,Split,,0.75,0.75,0.5,,,,0.75,-0.5,-0.1875,-0.5
